 lga_code_2016,,vi,ko, es, pl, hi, fr, en, ar, nl, ta, it, sr, ur, zh, in, tr, ru, el, tl,de, sp_oth_lan_indo_ary_lan_ben_p, ja
34420,Kowanyama ,0,0,0,0,0,0,871,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
34530,Livingstone ,13,7,47,17,14,38,32305,11,28,8,41,0,0,49,8,0,17,16,44,103,0,47
34570,Lockhart River ,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34580,Lockyer Valley ,74,129,59,9,51,44,32584,156,42,20,56,7,7,558,45,23,10,4,46,105,41,85
34590,Logan ,1364,1104,1463,420,2014,505,233973,2138,470,382,490,769,914,4790,407,342,451,466,1229,787,198,448
40310,Barossa ,3,3,27,11,4,22,21477,3,21,0,55,9,0,45,3,0,0,7,7,147,0,17
40430,Barunga West ,0,0,0,0,0,4,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40520,Berri and Barmera ,3,8,6,11,6,8,8849,13,12,10,66,0,0,30,0,0,11,392,23,17,12,3
37400,Winton ,0,0,0,0,0,5,1401,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0
40700,Burnside ,241,402,227,93,301,224,31284,233,62,186,1053,51,117,3696,97,25,129,707,84,248,98,186
37550,Woorabinda ,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40910,Campbelltown (SA),211,556,253,196,567,80,30800,594,95,227,5552,105,119,3396,85,7,215,1058,111,171,99,88
41010,Ceduna ,0,11,3,3,7,0,3059,0,0,4,6,0,0,7,0,0,0,55,10,5,0,0
41060,Charles Sturt ,2972,131,465,716,557,200,75018,936,126,241,5469,1389,331,2572,117,53,458,4513,423,432,125,120
37570,Wujal Wujal ,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37600,Yarrabah ,0,0,0,0,0,0,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41330,Coober Pedy ,0,4,4,3,3,6,1350,0,0,3,10,26,10,18,0,0,0,85,12,23,8,0
40070,Adelaide ,263,298,226,49,196,117,14849,352,32,65,312,30,57,4348,80,19,76,274,48,88,67,135
40120,Adelaide Hills ,86,6,91,113,8,86,34240,32,77,0,342,22,0,195,20,4,64,91,29,301,0,60
40220,Alexandrina ,10,4,15,26,4,28,22980,10,52,0,64,3,0,42,18,0,11,23,26,109,0,19
